universe,quality,pullback,trigger,hold,exit,n,wr,exp,avg_w,avg_l,score
mid,none,dn5,gapup,20,time,3487,0.5620877545167766,0.04559826684119932,0.15970525721445825,-0.10086519166016775,2.692615301341483
large,none,dn8,immed,20,time,9370,0.5344717182497332,0.027776724999869034,0.13811545205956383,-0.09890285893294881,2.688752545810219
large,none,dn10,green,10,time,3521,0.6239704629366657,0.045114807417051775,0.11931361038419992,-0.07800813073916006,2.6770231100581996
mid,above21,dn15,green,2,trail5,162,0.7962962962962963,0.2066626787856169,0.26546412396830316,-0.02319751601942939,2.6303864685747653
large,none,dn8,green,20,target15,4955,0.6389505549949546,0.037205957017142945,0.10559162704287575,-0.08381641933918463,2.61899282971855
mid,none,dn15,gapup,10,time,763,0.5412844036697247,0.0947256655661148,0.26733555698341904,-0.10895400630630421,2.616555399762794
mid,none,dn5,green,2,target15,15065,0.6748091603053435,0.021312530220611397,0.04713100482590082,-0.032263834922759124,2.6158906174481764
mid,none,dn8,green,10,target10,9607,0.6729468096179869,0.026662473767380627,0.07888257291565563,-0.0807859479365016,2.613330496427092
small,none,dn15,green,2,target10,4802,0.7086630570595586,0.03765682148474126,0.07160236060670427,-0.04491406459963335,2.6094845953195986
large,none,dn15,green,10,time,1688,0.6327014218009479,0.06347617515264482,0.15489119826272024,-0.09399357433374317,2.6079362497330347
large,none,dn10,immed,20,time,6649,0.5327116859678147,0.03194487722679121,0.15443166309109804,-0.10769084711546009,2.6048300287543027
mid,above50+rs,dn15,volexp,10,time,34,0.47058823529411764,0.4451071494342287,1.1765161355561273,-0.2050341715630144,2.595398376402706
mid,none,dn5,green,5,target10,15100,0.6431788079470199,0.021066322153339978,0.061068102143110335,-0.05103785142881478,2.5886730054086344
mid,above21,dn15,green,5,trail5,167,0.7664670658682635,0.19999423647187747,0.26760602441697456,-0.02191111883510805,2.5844951154662423
small,none,dn15,green,5,target10,4910,0.7052953156822811,0.03681000445743381,0.08505153709292503,-0.07864295167021378,2.5793282579476813
mid,above21,dn15,green,20,trail5,167,0.7604790419161677,0.19950097935540534,0.2691862177899015,-0.02174965267411993,2.578120828733382
mid,above21,dn15,green,10,trail5,167,0.7604790419161677,0.19950097935540534,0.2691862177899015,-0.02174965267411993,2.578120828733382
small,rs_pos,dn5,green,10,time,4583,0.5939341042984945,0.038039346662454086,0.1284218541029596,-0.0941590333768022,2.5751822950079926
mid,none,dn10,volexp,20,trail5,2060,0.4640776699029126,0.05628061005936316,0.16323220410795714,-0.03633327029431063,2.554420592116229
mid,none,dn10,volexp,10,trail5,2058,0.4708454810495627,0.05626886126781002,0.16057613566703147,-0.03654449859706197,2.5526472948995345
mid,none,dn15,gapup,10,trail5,775,0.41935483870967744,0.09160250890157608,0.26679815980515925,-0.034927683417678476,2.5501059230400758
mid,none,dn15,gapup,5,trail5,773,0.4320827943078913,0.09166735376347186,0.258376483720435,-0.03516829408533382,2.5486162119189437
mid,none,dn10,volexp,5,trail5,2048,0.4765625,0.05612324951229323,0.1577616200815085,-0.036413177423857995,2.539848339991497
